yawrate,speed,course,latitude,longitude,altitude
-0.1391,39.38,28.46,51.040006,13.792897,114.53
-0.3478,39.38,28.46,51.040006,13.792897,114.53
-0.4869,39.38,28.46,51.040006,13.792897,114.53
-0.6956,39.38,28.46,51.040014,13.792904,114.53
-0.1391,39.44,28.49,51.040014,13.792904,114.56
-0.626,39.44,28.49,51.040014,13.792904,114.56
-0.0695,39.44,28.49,51.040014,13.792904,114.56
-0.1391,39.44,28.49,51.040014,13.792904,114.56
-0.4173,39.44,28.49,51.040023,13.792912,114.56
0.6956,39.53,28.61,51.040023,13.792912,114.58
0.5565,39.53,28.61,51.040023,13.792912,114.58
0.4869,39.53,28.61,51.040023,13.792912,114.58
1.0434,39.53,28.61,51.040023,13.792912,114.58
0.6956,39.53,28.61,51.040032,13.79292,114.58
0.8347,39.95,28.78,51.040032,13.79292,114.62
0.2086,39.95,28.78,51.040032,13.79292,114.62
0.626,39.95,28.78,51.040032,13.79292,114.62
0.626,39.95,28.78,51.040032,13.79292,114.62
0.0,39.95,28.78,51.040041,13.792928,114.62
-0.1391,40.34,28.96,51.040041,13.792928,114.65
-0.4173,40.34,28.96,51.040041,13.792928,114.65
-0.4173,40.34,28.96,51.040041,13.792928,114.65
-0.626,40.34,28.96,51.040041,13.792928,114.65
-0.6956,40.34,28.96,51.040051,13.792937,114.65
-0.4173,40.95,29.19,51.040051,13.792937,114.67
-0.2782,40.95,29.19,51.040051,13.792937,114.67
0.0,40.95,29.19,51.040051,13.792937,114.67
0.3478,40.95,29.19,51.040051,13.792937,114.67
0.5565,40.95,29.19,51.040061,13.792946,114.67
0.2782,41.95,29.57,51.040061,13.792946,114.7
0.3478,41.95,29.57,51.040061,13.792946,114.7
0.3478,41.95,29.57,51.040061,13.792946,114.7
0.4869,41.95,29.57,51.040061,13.792946,114.7
0.1391,41.95,29.57,51.040073,13.792956,114.7
-0.2782,43.22,29.18,51.040073,13.792956,114.73
0.2086,43.22,29.18,51.040073,13.792956,114.73
